鸡	🐓
照相	📸📷
磁带	📼
放大	🔍
蜡	🕯
蜡烛	🕯
灯	💡
灯泡	💡
电筒	🔦
手电	🔦
灯笼	🏮
笔	✏🖊
钉	📌
别	📎
别针	📎🖇🧷
尺	📏📐
尺子	📏📐
剪	✂
剪刀	✂
篓	🗑
纸篓	🗑
锁	🔒
钥	🗝🔑
钥匙	🗝🔑
锤	🔨
斧	🪓
斧头	🪓
剑	🗡⚔
箭	🏹
弓	🏹
弓箭	🏹
盾	🛡
扳	🔧
扳手	🔧
螺丝	🔩
天平	⚖
链	🔗⛓
链接	🔗
链条	⛓
磁铁	🧲
计	🧪
计量	🧪
皿	🧫
打针	💉
血	🩸
药丸	💊
药	💊
马桶	🚽
剃	🪒
扫	🧹
扫把	🧹
篮	🧺
篮子	🧺
灭火	🧯
购物	🛒
烟	🚬
香烟	🚬
坛	⚱
厕	🚻
厕所	🚻
小心	⚠
警告	⚠
禁	🚫🈲
核	☢
拐	↩
拐弯	↩
太极	☯
阴阳	☯
无穷	♾
对	✔✅☑
错	❌❎
版权	©
商标	®™
旗	🚩
囧	💢
唇	💋
嘴唇	💋
炸	💣
炸弹	💣
弹	💣
炮	💣
手	🖐
这	👉
拳	✊🤜
拳头	✊🤜
拍手	👏
双手	🤲
合十	🙏
写	✍
写字	✍
肌肉	💪
脚	🦵
足	🦶
耳	👂
鼻	👃
牙	🦷
骨头	🦴
眼	👀
眼睛	👁
舌	👅
口	👄
嘴	👄
男	👦♀
女	🧒♂
跪	🧎
跑	🏃
骑	🚴
举	🏋
游	🏊
翻	🤸
脚印	👣
