㗳	tǎ.dā
㗴	yán
㗵	xù
㗶	pō
㗷	sǎi
㗻	guō
㗼	yè
㗽	xiǎng
㗾	xuē
㗿	hé.xià.xiā
㘀	zuò
㘁	yì
㘂	cí
㘄	lēng
㘅	xián
㘆	tǎi
㘇	róng
㘈	yì.nǐ
㘉	zhì
㘊	xī.yì
㘋	xián
㘌	jù
㘍	jí
㘎	hǎn
㘐	pào
㘑	lì
㘓	lán
㘔	sǎi
㘕	hǎn.lán
㘖	yán
㘗	qū
㘙	yán
㘚	hǎn
㘛	kān
㘜	chǐ
㘝	niè
㘞	huò
㘠	bì
㘡	xiá
㘢	wěng
㘣	xuán.yuán
㘤	wān
㘥	yóu
㘦	qín
㘧	xù
㘨	niè
㘩	bì
㘪	hào
㘫	jǐng
㘬	ào.wù
㘭	ào
㘰	zhēn
㘱	tān
㘲	jú
㘴	zuò
㘵	bù
㘶	jié
㘷	ài
㘸	zàng.zuò
㘹	cí
㘺	fá
㘿	niè
㙀	liù.jiù
㙁	méi.mù
㙂	duì.wèng
㙃	bāng
㙄	bì
㙅	bǎo
㙇	chù
㙈	xià
㙉	tiǎn
㙊	cháng.zhàng
㙍	duō
㙎	wēi
㙏	fù
㙐	duǒ
㙑	yǔ
㙒	yě
㙓	kuí
㙔	wěi.hán
㙕	kuài
㙗	wēi
㙘	yāo
㙙	lǒng
㙚	xīng
㙛	bǔ
㙜	chí
㙝	xié
㙞	niè
㙟	lǎng
㙠	yī.yì
㙡	zōng
㙢	mán
㙣	zhàng
㙤	xià
㙥	gùn
㙦	xié
㙨	jì
㙩	liáo
㙪	yì
㙫	jí
㙬	yín
㙮	dā
㙯	yì
㙰	xiè
㙱	hào
㙲	yǒng
㙳	kǎn.hǎn
㙴	chàn
㙵	tái
㙶	táng
㙷	zhí.zhé
㙸	bào
㙹	méng
㙺	kuí.guì
㙻	chán
㙼	lěi
㙾	xì
㚀	xī
㚁	qiào
㚂	nàng
㚃	yūn
㚅	lóng
㚆	fù
㚇	zōng
㚉	gǔ
㚊	kāi
㚋	diāo
㚌	huà
㚍	kuǐ.kuì
㚏	gǎo
㚐	tào
㚒	shǎn
㚓	lǎi
㚔	niè.xìng
㚕	fú
㚖	gǎo.zé
㚗	qié
㚘	bàn.hè.fú
㚙	jiā
㚚	kōng.kuāng
㚛	xì
㚜	yù.xù
㚝	zhuī
㚞	shěn
㚟	chuò
㚠	xiāo
㚡	jǐ
㚢	nú.wǔ
㚣	xiáo
㚤	yì
㚥	yú
㚦	yí
